userid,itemid,rating,Time,Location,Companion
1052,tt0088763,5,Weekday,Home,Alone
1004,tt0088763,5,Weekday,Cinema,Alone
1062,tt0088763,3,Weekday,Cinema,Alone
1116,tt0088763,3,Weekday,Cinema,Alone
1032,tt0088763,4,Weekday,Home,Alone
1008,tt0088763,4,Weekend,NA,Alone
1047,tt0088763,2,Weekend,NA,Alone
1077,tt0088763,4,Weekend,Home,Alone
1050,tt0120338,4,NA,Home,Family
1033,tt0120338,5,NA,Cinema,Family
1071,tt0120338,4,NA,Home,Family
1071,tt0120338,4,Weekday,NA,Family
1031,tt0120338,4,Weekday,NA,Family
1058,tt0120338,1,Weekday,Home,Family
1045,tt0120338,4,Weekend,Home,Family
1063,tt0120338,4,Weekend,Cinema,NA
1115,tt0120338,5,Weekend,Cinema,NA
1008,tt0120338,4,Weekend,Home,Family
1070,tt0120338,5,Weekend,Home,Family
1070,tt0120338,5,Weekend,Cinema,Family
